実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
10-12.,"478,466.0 ","263,405.0 ","259,100.6 ","221,834.1 ","35,106.6 ","76,900.7 ","2,464.6 ","77,853.3 ","47,468.7 ",259.0 ,"-16,496.1 ","43,759.2 ","60,255.3 ","-8,495.7 ",,"18,453.2 ","496,919.2 ","6,173.5 ","11,667.4 ","5,493.9 ","503,092.7 ",,"500,125.5 ","376,629.3 ","123,485.4 ",,"156,264.9 ",,"475,454.7 ",,,
1997/ 1- 3.,"479,683.8 ","267,264.7 ","262,989.4 ","225,504.6 ","34,090.3 ","77,660.5 ",-355.8 ,"77,863.2 ","46,628.3 ",139.4 ,"-15,675.4 ","45,099.3 ","60,774.7 ","-7,931.3 ",,"17,905.3 ","497,589.2 ","6,690.8 ","12,382.6 ","5,691.7 ","504,280.0 ",,"500,307.2 ","377,644.1 ","122,618.9 ",,"155,436.8 ",,"479,387.0 ",,,
4- 6.,"476,016.7 ","260,236.1 ","256,041.7 ","218,418.3 ","30,911.7 ","77,803.8 ","2,476.8 ","78,052.6 ","46,668.0 ",79.0 ,"-12,734.5 ","47,011.6 ","59,746.1 ","-7,477.0 ",,"18,272.5 ","494,289.2 ","6,778.3 ","12,349.1 ","5,570.8 ","501,067.5 ",,"493,550.4 ","370,786.7 ","122,804.0 ",,"152,821.1 ",,"473,135.6 ",,,
7- 9.,"477,002.5 ","260,612.4 ","256,488.2 ","218,698.0 ","29,063.5 ","78,230.0 ","4,545.5 ","77,975.3 ","47,111.4 ",164.4 ,"-13,216.4 ","46,382.8 ","59,599.3 ","-7,483.7 ",,"18,321.9 ","495,324.4 ","5,911.8 ","11,631.0 ","5,719.2 ","501,236.2 ",,"495,157.0 ","371,985.4 ","123,214.2 ",,"152,038.6 ",,"472,133.4 ",,,
10-12.,"477,203.6 ","260,114.6 ","255,895.9 ","217,946.2 ","27,891.6 ","79,911.8 ","3,757.9 ","78,392.1 ","44,809.2 ",457.1 ,"-10,849.4 ","47,395.7 ","58,245.1 ","-7,281.4 ",,"19,005.2 ","496,208.9 ","7,026.8 ","13,230.9 ","6,204.1 ","503,235.7 ",,"493,211.0 ","371,484.9 ","121,724.3 ",,"150,734.9 ",,"472,848.8 ",,,
1998/ 1- 3.,"471,369.7 ","259,750.1 ","255,280.0 ","217,164.4 ","27,185.8 ","78,679.2 ","3,511.3 ","78,280.1 ","42,229.4 ",242.4 ,"-11,533.6 ","46,178.4 ","57,712.0 ","-6,974.9 ",,"19,765.7 ","491,135.4 ","6,626.7 ","12,470.3 ","5,843.5 ","497,762.1 ",,"488,008.8 ","368,927.4 ","119,016.4 ",,"146,435.6 ",,"467,416.4 ",,,
4- 6.,"469,286.6 ","259,503.5 ","254,749.7 ","216,475.2 ","26,659.2 ","77,937.9 ","1,599.7 ","78,886.4 ","41,856.6 ",172.5 ,"-9,905.8 ","45,262.0 ","55,167.7 ","-7,423.5 ",,"19,527.9 ","488,814.6 ","5,622.9 ","11,722.7 ","6,099.9 ","494,437.4 ",,"484,828.3 ","365,582.9 ","119,222.1 ",,"144,821.6 ",,"467,153.3 ",,,
7- 9.,"470,143.1 ","261,363.7 ","256,398.1 ","217,939.7 ","26,054.0 ","77,402.5 ",-403.9 ,"79,313.9 ","43,797.4 ",-81.8 ,"-9,826.6 ","45,432.3 ","55,258.9 ","-7,476.1 ",,"19,071.5 ","489,214.6 ","6,361.5 ","11,836.7 ","5,475.3 ","495,576.1 ",,"485,606.7 ","364,401.8 ","121,261.8 ",,"145,452.7 ",,"470,048.0 ",,,
10-12.,"473,939.0 ","260,989.9 ","255,879.1 ","217,253.8 ","25,483.3 ","75,354.6 ","2,429.0 ","79,869.7 ","48,300.4 ",-601.5 ,"-9,331.8 ","44,607.7 ","53,939.4 ","-8,554.6 ",,"19,522.9 ","493,461.9 ","5,791.6 ","10,091.2 ","4,299.6 ","499,253.5 ",,"489,477.6 ","364,069.6 ","125,613.1 ",,"146,820.9 ",,"471,617.7 ",,,
1999/ 1- 3.,"467,409.3 ","261,989.1 ","256,803.5 ","217,951.5 ","25,239.8 ","73,232.5 ","-3,512.9 ","80,735.6 ","48,484.3 ",-88.0 ,"-10,892.5 ","44,707.8 ","55,600.4 ","-7,778.5 ",,"20,445.0 ","487,854.3 ","5,156.5 ","9,860.3 ","4,703.9 ","493,010.8 ",,"483,799.8 ","357,081.6 ","127,060.1 ",,"144,501.9 ",,"470,060.5 ",,,
