名目季節調整系列,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,(単位:10億円),,,,,,
"Nominal, Seasonally Adjusted Series",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,(Billion Yen),,,,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,純受取,受取,支払,,,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,,,,,,,,
1994/ 1- 3.,"510,178.7 ","266,662.1 ","262,098.8 ","227,655.4 ","28,673.8 ","80,433.4 ","3,822.2 ","73,546.9 ","46,403.3 ",-417.7 ,"11,054.6 ","44,988.0 ","33,933.4 ",,"4,515.8 ","15,777.9 ","11,262.1 ","514,694.5 ",,"499,124.1 ","379,591.5 ","119,532.6 ",,"155,510.5 ",,"506,774.2 ",,,,,,
4- 6.,"509,036.7 ","269,174.6 ","264,538.2 ","229,722.9 ","29,969.8 ","79,979.9 ","-3,045.2 ","75,112.5 ","47,380.2 ",489.0 ,"9,975.9 ","45,500.1 ","35,524.1 ",,"4,174.3 ","15,675.6 ","11,501.3 ","513,211.0 ",,"499,060.8 ","376,079.1 ","122,981.7 ",,"157,329.9 ",,"511,593.0 ",,,,,,
7- 9.,"512,958.5 ","270,640.6 ","265,974.3 ","230,751.7 ","32,363.1 ","79,430.6 ",-138.1 ,"75,898.3 ","45,540.6 ",656.8 ,"8,566.6 ","45,053.8 ","36,487.2 ",,"4,125.3 ","15,952.7 ","11,827.4 ","517,083.8 ",,"504,391.9 ","382,296.2 ","122,095.7 ",,"157,334.3 ",,"512,439.8 ",,,,,,
10-12.,"511,537.7 ","271,202.6 ","266,483.3 ","230,779.4 ","30,940.0 ","80,298.5 ","-1,605.1 ","76,696.6 ","44,714.2 ",706.3 ,"8,584.6 ","45,109.8 ","36,525.2 ",,"4,167.7 ","16,521.7 ","12,354.0 ","515,705.4 ",,"502,953.1 ","380,836.0 ","122,117.1 ",,"155,952.7 ",,"512,436.5 ",,,,,,
1995/ 1- 3.,"514,975.7 ","272,798.4 ","268,010.5 ","231,938.7 ","29,884.3 ","82,049.8 ","2,064.8 ","77,678.5 ","42,839.6 ",-147.4 ,"7,807.7 ","45,054.0 ","37,246.3 ",,"4,330.7 ","16,931.9 ","12,601.2 ","519,306.5 ",,"507,168.0 ","386,797.3 ","120,370.7 ",,"154,773.7 ",,"513,058.3 ",,,,,,
4- 6.,"518,797.2 ","274,213.3 ","269,350.0 ","232,938.4 ","28,982.9 ","84,418.3 ",956.1 ,"78,137.1 ","44,466.7 ",220.5 ,"7,402.3 ","44,073.6 ","36,671.3 ",,"3,484.8 ","15,932.7 ","12,447.9 ","522,282.0 ",,"511,394.9 ","388,570.7 ","122,824.3 ",,"157,868.0 ",,"517,620.6 ",,,,,,
