åŸópé“ïÒèV,,,,,,,,(íPà :10â≠â~ÅA%)
Compensation of Employees,,,,,,,,"(Billion Yen, %)"
,ñºñ⁄,,,,é¿éøÅi2015óÔîNòAçΩâøäiÅj,,,
,Nominal,,,,Real (Chained (2015) Yen),,,
,å¥ånóÒ,,ãGêﬂí≤êÆånóÒ,,å¥ånóÒ,,ãGêﬂí≤êÆånóÒ,
,Original Series,,Seasonally Adjusted Series,,Original Series,,Seasonally Adjusted Series,
,é¿äz,ëùâ¡ó¶,é¿äz,ëùâ¡ó¶,é¿äz,ëùâ¡ó¶,é¿äz,ëùâ¡ó¶
,Level,(*),Level,(**),Level,(*),Level,(**)
10-12.,"75,052.1 ",1.4 ,"256,488.9 ",-0.0 ,"74,073.4 ",1.7 ,"254,247.3 ",-0.2 
2005/ 1- 3.,"54,175.8 ",0.9 ,"257,423.3 ",0.4 ,"54,171.7 ",1.5 ,"255,866.7 ",0.6 
4- 6.,"67,286.8 ",1.9 ,"259,504.0 ",0.8 ,"66,905.6 ",2.5 ,"258,726.3 ",1.1 
7- 9.,"61,950.9 ",1.3 ,"261,190.4 ",0.6 ,"61,931.8 ",1.9 ,"261,030.3 ",0.9 
10-12.,"77,180.8 ",2.8 ,"263,139.6 ",0.7 ,"76,821.2 ",3.7 ,"263,070.8 ",0.8 
2006/ 1- 3.,"55,225.7 ",1.9 ,"263,189.4 ",0.0 ,"55,401.4 ",2.3 ,"262,283.5 ",-0.3 
4- 6.,"68,860.7 ",2.3 ,"264,611.0 ",0.5 ,"68,653.5 ",2.6 ,"264,535.5 ",0.9 
7- 9.,"62,744.3 ",1.3 ,"265,455.0 ",0.3 ,"62,573.4 ",1.0 ,"264,782.4 ",0.1 
10-12.,"78,360.8 ",1.5 ,"267,070.3 ",0.6 ,"78,105.3 ",1.7 ,"267,327.1 ",1.0 
2007/ 1- 3.,"55,805.6 ",1.1 ,"265,718.6 ",-0.5 ,"56,427.2 ",1.9 ,"266,852.7 ",-0.2 
4- 6.,"69,586.8 ",1.1 ,"267,120.4 ",0.5 ,"69,686.9 ",1.5 ,"268,248.1 ",0.5 
7- 9.,"62,850.5 ",0.2 ,"266,226.1 ",-0.3 ,"63,085.6 ",0.8 ,"267,416.3 ",-0.3 
10-12.,"78,373.3 ",0.0 ,"267,654.9 ",0.5 ,"78,084.1 ",-0.0 ,"267,642.7 ",0.1 
2008/ 1- 3.,"56,469.5 ",1.2 ,"267,670.2 ",0.0 ,"56,635.5 ",0.4 ,"266,538.2 ",-0.4 
4- 6.,"70,117.5 ",0.8 ,"269,467.1 ",0.7 ,"69,454.7 ",-0.3 ,"267,899.9 ",0.5 
7- 9.,"62,996.9 ",0.2 ,"266,517.9 ",-1.1 ,"62,187.6 ",-1.4 ,"263,323.4 ",-1.7 
10-12.,"77,222.0 ",-1.5 ,"264,885.7 ",-0.6 ,"76,831.1 ",-1.6 ,"264,250.2 ",0.4 
2009/ 1- 3.,"55,187.3 ",-2.3 ,"259,769.2 ",-1.9 ,"56,013.3 ",-1.1 ,"261,948.5 ",-0.9 
4- 6.,"65,615.2 ",-6.4 ,"252,759.4 ",-2.7 ,"66,233.0 ",-4.6 ,"256,129.5 ",-2.2 
7- 9.,"59,943.6 ",-4.8 ,"252,962.2 ",0.1 ,"61,172.9 ",-1.6 ,"258,325.0 ",0.9 
10-12.,"73,051.7 ",-5.4 ,"251,912.8 ",-0.4 ,"74,844.2 ",-2.6 ,"258,430.7 ",0.0 
2010/ 1- 3.,"54,063.7 ",-2.0 ,"252,819.3 ",0.4 ,"55,849.0 ",-0.3 ,"259,575.3 ",0.4 
4- 6.,"65,223.5 ",-0.6 ,"251,561.9 ",-0.5 ,"66,771.1 ",0.8 ,"258,726.8 ",-0.3 
7- 9.,"59,671.3 ",-0.5 ,"251,375.0 ",-0.1 ,"61,904.9 ",1.2 ,"260,896.7 ",0.8 
10-12.,"72,216.5 ",-1.1 ,"250,142.2 ",-0.5 ,"74,693.5 ",-0.2 ,"258,880.4 ",-0.8 
2011/ 1- 3.,"54,043.4 ",-0.0 ,"251,649.6 ",0.6 ,"56,111.5 ",0.5 ,"259,928.8 ",0.4 
4- 6.,"65,367.8 ",0.2 ,"252,011.4 ",0.1 ,"67,377.1 ",0.9 ,"260,878.6 ",0.4 
7- 9.,"59,538.3 ",-0.2 ,"250,786.9 ",-0.5 ,"61,697.0 ",-0.3 ,"259,914.2 ",-0.4 
10-12.,"72,634.4 ",0.6 ,"252,136.0 ",0.5 ,"75,117.8 ",0.6 ,"260,916.5 ",0.4 
2012/ 1- 3.,"54,436.5 ",0.7 ,"253,176.6 ",0.4 ,"56,436.0 ",0.6 ,"261,418.5 ",0.2 
4- 6.,"65,229.0 ",-0.2 ,"251,183.5 ",-0.8 ,"67,378.8 ",0.0 ,"260,362.3 ",-0.4 
7- 9.,"59,793.2 ",0.4 ,"251,902.2 ",0.3 ,"62,479.5 ",1.3 ,"263,209.1 ",1.1 
10-12.,"72,191.4 ",-0.6 ,"250,741.3 ",-0.5 ,"75,029.6 ",-0.1 ,"260,860.6 ",-0.9 
2013/ 1- 3.,"54,217.4 ",-0.4 ,"252,365.0 ",0.6 ,"56,631.2 ",0.3 ,"262,484.8 ",0.6 
4- 6.,"65,991.4 ",1.2 ,"253,864.8 ",0.6 ,"68,460.7 ",1.6 ,"264,153.6 ",0.6 
7- 9.,"59,933.0 ",0.2 ,"252,558.5 ",-0.5 ,"62,143.6 ",-0.5 ,"261,829.6 ",-0.9 
10-12.,"73,191.2 ",1.4 ,"254,049.3 ",0.6 ,"75,243.8 ",0.3 ,"261,658.8 ",-0.1 
2014/ 1- 3.,"54,589.4 ",0.7 ,"254,405.2 ",0.1 ,"56,299.8 ",-0.6 ,"261,257.3 ",-0.2 
4- 6.,"66,969.4 ",1.5 ,"257,720.3 ",1.3 ,"66,942.3 ",-2.2 ,"258,335.3 ",-1.1 
7- 9.,"61,406.2 ",2.5 ,"258,539.0 ",0.3 ,"61,537.0 ",-1.0 ,"258,868.7 ",0.2 
10-12.,"74,555.7 ",1.9 ,"258,664.0 ",0.0 ,"74,505.7 ",-1.0 ,"259,237.9 ",0.1 
2015/ 1- 3.,"55,504.0 ",1.7 ,"258,824.9 ",0.1 ,"55,954.4 ",-0.6 ,"259,733.0 ",0.2 
