名目季節調整系列,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,(単位:10億円),,,,,,
"Nominal, Seasonally Adjusted Series",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,(Billion Yen),,,,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,純受取,受取,支払,,,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,,,,,,,,
1994/ 1- 3.,"510,178.0 ","266,661.4 ","262,098.1 ","227,654.7 ","28,673.8 ","80,433.4 ","3,822.2 ","73,546.9 ","46,403.3 ",-417.7 ,"11,054.6 ","44,988.0 ","33,933.4 ",,"4,514.5 ","15,775.7 ","11,261.1 ","514,692.5 ",,"499,123.4 ","379,590.8 ","119,532.6 ",,"155,510.5 ",,"506,773.5 ",,,,,,
4- 6.,"509,035.1 ","269,173.0 ","264,536.5 ","229,721.3 ","29,969.8 ","79,979.9 ","-3,045.2 ","75,112.5 ","47,380.2 ",489.0 ,"9,975.9 ","45,500.1 ","35,524.1 ",,"4,173.7 ","15,675.6 ","11,501.8 ","513,208.8 ",,"499,059.2 ","376,077.4 ","122,981.7 ",,"157,329.9 ",,"511,591.4 ",,,,,,
7- 9.,"512,959.7 ","270,641.8 ","265,975.5 ","230,752.9 ","32,363.1 ","79,430.6 ",-138.1 ,"75,898.3 ","45,540.6 ",656.8 ,"8,566.6 ","45,053.8 ","36,487.2 ",,"4,125.9 ","15,953.4 ","11,827.5 ","517,085.6 ",,"504,393.1 ","382,297.4 ","122,095.7 ",,"157,334.3 ",,"512,441.0 ",,,,,,
10-12.,"511,538.9 ","271,203.8 ","266,484.6 ","230,780.6 ","30,940.0 ","80,298.5 ","-1,605.1 ","76,696.6 ","44,714.2 ",706.3 ,"8,584.6 ","45,109.8 ","36,525.2 ",,"4,169.0 ","16,523.7 ","12,354.7 ","515,707.9 ",,"502,954.3 ","380,837.3 ","122,117.1 ",,"155,952.7 ",,"512,437.8 ",,,,,,
1995/ 1- 3.,"514,974.9 ","272,797.6 ","268,009.6 ","231,937.8 ","29,884.3 ","82,049.8 ","2,064.8 ","77,678.5 ","42,839.6 ",-147.4 ,"7,807.7 ","45,054.0 ","37,246.3 ",,"4,329.7 ","16,929.7 ","12,600.1 ","519,304.5 ",,"507,167.1 ","386,796.4 ","120,370.7 ",,"154,773.7 ",,"513,057.5 ",,,,,,
4- 6.,"518,795.6 ","274,211.7 ","269,348.4 ","232,936.7 ","28,982.9 ","84,418.3 ",956.1 ,"78,137.1 ","44,466.7 ",220.5 ,"7,402.3 ","44,073.6 ","36,671.3 ",,"3,484.2 ","15,932.6 ","12,448.4 ","522,279.8 ",,"511,393.3 ","388,569.0 ","122,824.3 ",,"157,868.0 ",,"517,619.0 ",,,,,,
