実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
1994/ 1- 3.,"446,307.6 ","247,534.8 ","243,652.2 ","208,606.0 ","29,812.0 ","66,259.2 ","4,229.0 ","71,357.3 ","47,106.5 ",-542.3 ,"-7,720.2 ","37,756.0 ","45,476.2 ","-11,728.6 ",,"19,378.6 ","465,686.2 ","4,126.7 ","14,532.6 ","10,406.0 ","469,812.9 ",,"462,345.5 ","346,473.2 ","115,946.0 ",,"139,771.5 ",,"442,254.3 ",,,
4- 6.,"443,743.7 ","248,757.7 ","244,818.6 ","209,570.5 ","31,118.5 ","66,065.0 ","-2,884.5 ","72,243.7 ","48,020.5 ",622.8 ,"-8,364.3 ","37,963.9 ","46,328.2 ","-11,835.8 ",,"18,742.6 ","462,486.3 ","3,800.5 ","14,474.0 ","10,673.5 ","466,286.8 ",,"460,007.7 ","341,603.4 ","118,663.9 ",,"141,504.9 ",,"445,540.1 ",,,
7- 9.,"448,945.0 ","250,618.8 ","246,657.6 ","211,192.8 ","33,628.1 ","65,999.2 ",-280.5 ,"72,789.0 ","46,302.7 ",806.2 ,"-9,067.4 ","38,658.3 ","47,725.7 ","-11,851.0 ",,"18,142.9 ","467,087.9 ","3,869.5 ","14,796.7 ","10,927.2 ","470,957.4 ",,"465,728.1 ","348,123.3 ","117,732.7 ",,"142,085.9 ",,"448,141.3 ",,,
10-12.,"447,169.1 ","250,780.0 ","246,774.1 ","211,132.0 ","32,218.2 ","67,028.9 ","-1,601.9 ","72,949.9 ","45,588.7 ",853.3 ,"-9,379.0 ","38,820.5 ","48,199.5 ","-11,269.1 ",,"18,529.8 ","465,698.9 ","3,897.9 ","15,310.6 ","11,412.7 ","469,596.8 ",,"464,009.0 ","346,878.2 ","117,256.6 ",,"141,349.6 ",,"447,579.8 ",,,
1995/ 1- 3.,"452,113.0 ","252,928.4 ","248,855.5 ","213,011.3 ","31,121.5 ","68,647.7 ","2,253.7 ","74,470.4 ","43,641.5 ",-27.7 ,"-10,500.2 ","39,311.6 ","49,811.9 ","-10,422.3 ",,"18,955.3 ","471,068.3 ","3,959.3 ","15,609.6 ","11,650.3 ","475,027.6 ",,"469,830.7 ","353,605.9 ","116,211.6 ",,"140,431.4 ",,"449,535.4 ",,,
4- 6.,"456,276.2 ","254,883.7 ","250,728.0 ","214,693.6 ","30,381.5 ","71,088.0 ","1,116.7 ","74,611.2 ","45,422.2 ",199.2 ,"-11,408.7 ","39,897.6 ","51,306.4 ","-10,017.6 ",,"19,769.9 ","476,046.0 ","3,172.7 ","14,794.3 ","11,621.7 ","479,218.7 ",,"474,638.0 ","356,441.2 ","118,229.9 ",,"144,025.3 ",,"454,598.5 ",,,
