名目季節調整系列,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,(単位:10億円),,,,,,
"Nominal, Seasonally Adjusted Series",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,(Billion Yen),,,,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,純受取,受取,支払,,,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,,,,,,,,
4- 6.,"554,799.9 ","283,987.0 ","279,013.0 ","239,272.7 ","33,587.5 ","99,262.6 ","2,734.9 ","83,200.8 ","46,316.3 ",99.5 ,"5,611.4 ","56,890.7 ","51,279.3 ",,"7,386.7 ","13,441.6 ","6,054.9 ","562,186.6 ",,"549,188.5 ","419,571.9 ","129,616.6 ",,"179,166.3 ",,"551,965.5 ",,,,,,
7- 9.,"554,516.5 ","284,474.2 ","279,562.8 ","239,438.7 ","31,539.8 ","99,020.1 ","5,050.4 ","82,791.5 ","46,421.5 ",137.4 ,"5,081.5 ","55,287.4 ","50,205.9 ",,"6,440.0 ","12,660.8 ","6,220.8 ","560,956.5 ",,"549,435.0 ","420,084.5 ","129,350.5 ",,"176,981.4 ",,"549,328.7 ",,,,,,
10-12.,"555,032.4 ","283,782.0 ","278,778.9 ","238,312.6 ","30,152.5 ","101,166.7 ","3,642.8 ","83,489.6 ","44,015.9 ",407.7 ,"8,375.2 ","58,428.3 ","50,053.1 ",,"7,603.9 ","14,354.2 ","6,750.3 ","562,636.3 ",,"546,657.2 ","418,744.0 ","127,913.2 ",,"175,335.1 ",,"550,981.9 ",,,,,,
1998/ 1- 3.,"545,625.8 ","282,595.0 ","277,359.1 ","236,505.1 ","28,995.6 ","96,939.3 ","3,672.9 ","83,533.3 ","41,303.9 ",232.7 ,"8,353.1 ","56,882.0 ","48,528.9 ",,"7,190.6 ","13,534.3 ","6,343.7 ","552,816.4 ",,"537,272.7 ","412,202.9 ","125,069.8 ",,"167,238.8 ",,"541,720.3 ",,,,,,
4- 6.,"541,542.6 ","282,199.9 ","276,693.0 ","235,676.1 ","28,316.2 ","95,239.6 ","1,685.9 ","83,247.1 ","40,804.4 ",136.5 ,"9,912.9 ","56,686.5 ","46,773.6 ",,"6,079.1 ","12,669.4 ","6,590.3 ","547,621.7 ",,"531,629.7 ","407,441.6 ","124,188.0 ",,"164,360.2 ",,"539,720.2 ",,,,,,
7- 9.,"540,266.9 ","283,981.0 ","278,263.6 ","236,947.7 ","27,676.5 ","94,068.1 ",-933.6 ,"83,455.7 ","42,475.2 ",-66.6 ,"9,610.7 ","57,148.7 ","47,538.0 ",,"6,870.9 ","12,775.4 ","5,904.5 ","547,137.7 ",,"530,656.2 ","404,792.0 ","125,864.2 ",,"164,219.7 ",,"541,267.1 ",,,,,,
10-12.,"545,929.1 ","284,554.0 ","278,690.5 ","237,286.5 ","27,070.8 ","90,849.5 ","2,511.7 ","85,244.9 ","46,470.2 ",-546.6 ,"9,774.5 ","52,150.0 ","42,375.5 ",,"6,235.6 ","10,889.7 ","4,654.1 ","552,164.7 ",,"536,154.6 ","404,986.0 ","131,168.6 ",,"164,390.5 ",,"543,963.9 ",,,,,,
1999/ 1- 3.,"534,642.4 ","283,876.0 ","277,950.4 ","236,391.5 ","26,634.3 ","87,857.9 ","-3,887.1 ","85,073.9 ","46,347.3 ",-74.8 ,"8,814.8 ","50,677.0 ","41,862.2 ",,"5,535.8 ","10,590.2 ","5,054.4 ","540,178.2 ",,"525,827.6 ","394,481.1 ","131,346.4 ",,"160,839.5 ",,"538,604.3 ",,,,,,
4- 6.,"535,352.8 ","284,186.8 ","278,112.2 ","236,358.2 ","28,193.5 ","88,032.4 ","-3,952.9 ","85,635.1 ","45,379.3 ",-7.4 ,"7,886.0 ","51,699.0 ","43,813.0 ",,"6,683.9 ","10,884.6 ","4,200.7 ","542,036.7 ",,"527,466.7 ","396,459.8 ","131,006.9 ",,"161,605.2 ",,"539,313.1 ",,,,,,
7- 9.,"534,864.9 ","285,879.8 ","279,635.3 ","237,635.6 ","28,407.5 ","87,309.7 ","-3,428.6 ","85,359.4 ","43,988.7 ",3.0 ,"7,345.4 ","52,189.7 ","44,844.3 ",,"6,774.8 ","10,639.5 ","3,864.8 ","541,639.7 ",,"527,519.5 ","398,168.4 ","129,351.1 ",,"159,705.9 ",,"538,290.5 ",,,,,,
