名目季節調整系列,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,(単位:10億円),,,,,,
"Nominal, Seasonally Adjusted Series",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,(Billion Yen),,,,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,純受取,受取,支払,,,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,Net,Receipt,Payment,,,,,,,,,,,,,,,
4- 6.,"544,079.9 ","285,126.4 ","280,137.5 ","240,400.8 ","30,419.0 ","90,647.4 ","2,591.2 ","83,289.7 ","46,296.1 ",98.8 ,"5,611.1 ","56,890.4 ","51,279.3 ",,"7,386.7 ","13,441.6 ","6,054.9 ","551,466.5 ",,"538,468.7 ","408,784.1 ","129,684.6 ",,"167,362.5 ",,"541,389.9 ",,,,,,
7- 9.,"544,024.6 ","285,599.9 ","280,669.4 ","240,554.3 ","28,376.5 ","90,792.0 ","4,693.3 ","82,943.3 ","46,399.4 ",138.3 ,"5,082.0 ","55,287.4 ","50,205.4 ",,"6,440.0 ","12,660.8 ","6,220.7 ","550,464.7 ",,"538,942.6 ","409,461.6 ","129,481.0 ",,"165,567.8 ",,"539,193.1 ",,,,,,
10-12.,"544,965.8 ","284,765.5 ","279,742.3 ","239,289.1 ","27,020.6 ","92,824.3 ","3,920.1 ","83,676.5 ","43,977.2 ",406.5 ,"8,375.1 ","58,428.4 ","50,053.2 ",,"7,604.0 ","14,354.2 ","6,750.2 ","552,569.8 ",,"536,590.7 ","408,530.5 ","128,060.2 ",,"163,822.1 ",,"540,639.2 ",,,,,,
1998/ 1- 3.,"537,984.2 ","283,960.5 ","278,699.2 ","237,852.4 ","26,189.8 ","91,037.9 ","3,306.6 ","83,618.1 ","41,284.0 ",234.6 ,"8,352.8 ","56,882.3 ","48,529.5 ",,"7,190.5 ","13,534.3 ","6,343.8 ","545,174.7 ",,"529,631.5 ","404,494.8 ","125,136.6 ",,"158,511.7 ",,"534,443.0 ",,,,,,
4- 6.,"534,816.0 ","283,425.7 ","277,895.4 ","236,884.4 ","25,537.5 ","89,916.1 ","1,712.6 ","83,445.7 ","40,731.0 ",135.1 ,"9,912.3 ","56,686.2 ","46,773.9 ",,"6,079.1 ","12,669.4 ","6,590.3 ","540,895.1 ",,"524,903.7 ","400,591.8 ","124,311.8 ",,"156,184.6 ",,"532,968.3 ",,,,,,
7- 9.,"533,899.7 ","284,811.2 ","279,064.7 ","237,753.2 ","24,909.9 ","89,028.5 ",-473.1 ,"83,649.7 ","42,429.4 ",-67.6 ,"9,611.7 ","57,148.5 ","47,536.8 ",,"6,870.9 ","12,775.4 ","5,904.5 ","540,770.6 ",,"524,288.0 ","398,276.5 ","126,011.5 ",,"156,367.8 ",,"534,440.4 ",,,,,,
10-12.,"539,288.6 ","285,492.4 ","279,601.1 ","238,193.6 ","24,211.4 ","86,017.3 ","2,430.8 ","85,439.3 ","46,466.6 ",-544.3 ,"9,775.1 ","52,150.2 ","42,375.0 ",,"6,235.6 ","10,889.7 ","4,654.1 ","545,524.2 ",,"529,513.5 ","398,151.9 ","131,361.6 ",,"156,695.2 ",,"537,402.1 ",,,,,,
1999/ 1- 3.,"529,063.3 ","285,181.1 ","279,225.6 ","237,663.9 ","23,854.4 ","83,194.4 ","-3,543.9 ","85,294.5 ","46,345.7 ",-75.8 ,"8,812.8 ","50,677.6 ","41,864.8 ",,"5,535.8 ","10,590.2 ","5,054.4 ","534,599.0 ",,"520,250.5 ","388,686.1 ","131,564.4 ",,"153,394.6 ",,"532,683.0 ",,,,,,
4- 6.,"529,019.1 ","285,054.0 ","278,952.2 ","237,196.9 ","25,398.0 ","83,338.5 ","-3,852.9 ","85,849.0 ","45,352.2 ",-5.3 ,"7,885.6 ","51,698.6 ","43,812.9 ",,"6,684.0 ","10,884.6 ","4,200.7 ","535,703.0 ",,"521,133.4 ","389,937.5 ","131,195.9 ",,"154,088.6 ",,"532,877.3 ",,,,,,
7- 9.,"528,593.4 ","286,729.8 ","280,453.3 ","238,452.8 ","25,682.1 ","82,693.4 ","-3,378.7 ","85,564.9 ","43,952.6 ",1.8 ,"7,347.4 ","52,189.4 ","44,841.9 ",,"6,774.8 ","10,639.6 ","3,864.8 ","535,368.2 ",,"521,245.9 ","391,726.7 ","129,519.3 ",,"152,328.1 ",,"531,970.2 ",,,,,,
