cat01_code,cat01_name,cat02_code,cat02_name,area_code,area_name,time_code,time_name,value,unit
30000000,3_鉱物性燃料,140,1月_金額,50118,118_インドネシア,2014000000,2014年,128036662,千円
30000000,3_鉱物性燃料,140,1月_金額,50118,118_インドネシア,2013000000,2013年,120238804,千円
30000000,3_鉱物性燃料,140,1月_金額,50118,118_インドネシア,2012000000,2012年,135204614,千円
30000000,3_鉱物性燃料,140,1月_金額,50118,118_インドネシア,2011000000,2011年,116154883,千円
30000000,3_鉱物性燃料,140,1月_金額,50122,122_ミャンマー,2013000000,2013年,13910,千円
30000000,3_鉱物性燃料,140,1月_金額,50122,122_ミャンマー,2012000000,2012年,0,千円
30000000,3_鉱物性燃料,140,1月_金額,50123,123_インド,2015000000,2015年,18815187,千円
30000000,3_鉱物性燃料,140,1月_金額,50123,123_インド,2014000000,2014年,28342171,千円
30000000,3_鉱物性燃料,140,1月_金額,50123,123_インド,2013000000,2013年,27858126,千円
30000000,3_鉱物性燃料,140,1月_金額,50123,123_インド,2012000000,2012年,13446703,千円
30000000,3_鉱物性燃料,140,1月_金額,50123,123_インド,2011000000,2011年,8772767,千円
30000000,3_鉱物性燃料,140,1月_金額,50124,124_パキスタン,2015000000,2015年,0,千円
30000000,3_鉱物性燃料,140,1月_金額,50124,124_パキスタン,2014000000,2014年,0,千円
30000000,3_鉱物性燃料,140,1月_金額,50124,124_パキスタン,2013000000,2013年,0,千円
30000000,3_鉱物性燃料,140,1月_金額,50124,124_パキスタン,2012000000,2012年,0,千円
30000000,3_鉱物性燃料,140,1月_金額,50124,124_パキスタン,2011000000,2011年,2714030,千円
30000000,3_鉱物性燃料,140,1月_金額,50125,125_スリランカ,2015000000,2015年,0,千円
30000000,3_鉱物性燃料,140,1月_金額,50125,125_スリランカ,2014000000,2014年,909,千円
30000000,3_鉱物性燃料,140,1月_金額,50125,125_スリランカ,2013000000,2013年,398,千円
30000000,3_鉱物性燃料,140,1月_金額,50125,125_スリランカ,2012000000,2012年,11337,千円
30000000,3_鉱物性燃料,140,1月_金額,50125,125_スリランカ,2011000000,2011年,1522,千円
30000000,3_鉱物性燃料,140,1月_金額,50127,127_バングラデシュ,2013000000,2013年,0,千円
30000000,3_鉱物性燃料,140,1月_金額,50128,128_東ティモール,2015000000,2015年,852597,千円
30000000,3_鉱物性燃料,140,1月_金額,50128,128_東ティモール,2014000000,2014年,0,千円
30000000,3_鉱物性燃料,140,1月_金額,50128,128_東ティモール,2013000000,2013年,0,千円
