cat01_code,cat01_name,cat02_code,cat02_name,area_code,area_name,time_code,time_name,value,unit
30301000,30301_原油及び粗油,130,1月_数量,50140,140_カタール,2011000000,2011年,2049490,
30301000,30301_原油及び粗油,130,1月_数量,50141,141_オマーン,2015000000,2015年,67114,
30301000,30301_原油及び粗油,130,1月_数量,50141,141_オマーン,2014000000,2014年,401201,
30301000,30301_原油及び粗油,130,1月_数量,50141,141_オマーン,2013000000,2013年,383717,
30301000,30301_原油及び粗油,130,1月_数量,50141,141_オマーン,2012000000,2012年,356725,
30301000,30301_原油及び粗油,130,1月_数量,50141,141_オマーン,2011000000,2011年,572047,
30301000,30301_原油及び粗油,130,1月_数量,50147,147_アラブ首長国連邦,2015000000,2015年,4655545,
30301000,30301_原油及び粗油,130,1月_数量,50147,147_アラブ首長国連邦,2014000000,2014年,3795382,
30301000,30301_原油及び粗油,130,1月_数量,50147,147_アラブ首長国連邦,2013000000,2013年,3883356,
30301000,30301_原油及び粗油,130,1月_数量,50147,147_アラブ首長国連邦,2012000000,2012年,4203685,
30301000,30301_原油及び粗油,130,1月_数量,50147,147_アラブ首長国連邦,2011000000,2011年,4004744,
30301000,30301_原油及び粗油,130,1月_数量,50149,149_イエメン,2015000000,2015年,0,
30301000,30301_原油及び粗油,130,1月_数量,50149,149_イエメン,2014000000,2014年,0,
30301000,30301_原油及び粗油,130,1月_数量,50149,149_イエメン,2013000000,2013年,23821,
30301000,30301_原油及び粗油,130,1月_数量,50149,149_イエメン,2012000000,2012年,0,
30301000,30301_原油及び粗油,130,1月_数量,50149,149_イエメン,2011000000,2011年,76730,
30301000,30301_原油及び粗油,130,1月_数量,50150,150_アゼルバイジャン,2012000000,2012年,0,
30301000,30301_原油及び粗油,130,1月_数量,50153,153_カザフスタン,2015000000,2015年,0,
30301000,30301_原油及び粗油,130,1月_数量,50153,153_カザフスタン,2014000000,2014年,0,
30301000,30301_原油及び粗油,130,1月_数量,50153,153_カザフスタン,2013000000,2013年,0,
30301000,30301_原油及び粗油,130,1月_数量,50202,202_ノルウェー,2014000000,2014年,0,
30301000,30301_原油及び粗油,130,1月_数量,50202,202_ノルウェー,2013000000,2013年,0,
30301000,30301_原油及び粗油,130,1月_数量,50205,205_英国,2012000000,2012年,0,
