実質季節調整系列,,,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:2015暦年連鎖価格、10億円),,,
"Real, Seasonally Adjusted Series",,,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(Billions of Chained (2015) Yen),,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,開差,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,,純受取,受取,支払,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,Residual,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,,Net,Receipt,Payment,,,,,,,,,,,,
10-12.,"478,442.2 ","263,382.4 ","259,078.0 ","221,811.7 ","35,106.5 ","76,900.7 ","2,464.6 ","77,853.6 ","47,467.9 ",259.0 ,"-16,496.7 ","43,759.0 ","60,255.6 ","-8,495.9 ",,"18,453.8 ","496,896.0 ","6,177.5 ","11,671.7 ","5,494.2 ","503,073.5 ",,"500,104.7 ","376,608.7 ","123,485.7 ",,"156,264.4 ",,"475,429.8 ",,,
1997/ 1- 3.,"479,586.7 ","267,170.1 ","262,894.7 ","225,410.5 ","34,090.2 ","77,660.5 ",-355.8 ,"77,863.5 ","46,622.5 ",139.4 ,"-15,676.0 ","45,099.0 ","60,775.0 ","-7,927.7 ",,"17,906.0 ","497,492.7 ","6,687.0 ","12,378.4 ","5,691.4 ","504,179.7 ",,"500,209.3 ","377,551.8 ","122,614.6 ",,"155,431.7 ",,"479,288.8 ",,,
4- 6.,"476,097.0 ","260,322.5 ","256,128.2 ","218,504.1 ","30,911.8 ","77,803.8 ","2,476.8 ","78,053.0 ","46,668.0 ",79.0 ,"-12,735.2 ","47,011.1 ","59,746.3 ","-7,482.7 ",,"18,273.0 ","494,370.0 ","6,777.6 ","12,348.5 ","5,570.9 ","501,147.6 ",,"493,639.1 ","370,873.8 ","122,805.0 ",,"152,821.3 ",,"473,214.6 ",,,
7- 9.,"476,996.7 ","260,608.9 ","256,484.7 ","218,694.3 ","29,063.5 ","78,230.0 ","4,545.5 ","77,975.6 ","47,110.5 ",164.4 ,"-13,216.9 ","46,382.6 ","59,599.5 ","-7,485.0 ",,"18,322.5 ","495,319.1 ","5,913.0 ","11,632.2 ","5,719.2 ","501,232.1 ",,"495,155.0 ","371,983.5 ","123,214.4 ",,"152,038.0 ",,"472,126.3 ",,,
10-12.,"477,185.3 ","260,094.3 ","255,875.5 ","217,925.8 ","27,891.6 ","79,911.8 ","3,757.9 ","78,392.5 ","44,812.6 ",457.1 ,"-10,850.0 ","47,395.5 ","58,245.5 ","-7,282.5 ",,"19,005.9 ","496,191.2 ","7,030.1 ","13,234.5 ","6,204.3 ","503,221.3 ",,"493,195.9 ","371,466.3 ","121,728.5 ",,"150,738.1 ",,"472,829.3 ",,,
1998/ 1- 3.,"471,302.3 ","259,688.7 ","255,218.6 ","217,103.1 ","27,185.8 ","78,679.2 ","3,511.3 ","78,280.4 ","42,221.6 ",242.4 ,"-11,534.3 ","46,178.1 ","57,712.4 ","-6,972.8 ",,"19,766.5 ","491,068.7 ","6,624.1 ","12,467.4 ","5,843.3 ","497,692.8 ",,"487,942.3 ","368,868.0 ","119,010.1 ",,"146,428.7 ",,"467,347.9 ",,,
4- 6.,"469,326.9 ","259,546.7 ","254,792.9 ","216,518.1 ","26,659.3 ","77,937.9 ","1,599.6 ","78,886.8 ","41,857.5 ",172.5 ,"-9,906.4 ","45,261.5 ","55,167.9 ","-7,427.1 ",,"19,528.4 ","488,855.3 ","5,622.2 ","11,722.1 ","6,099.9 ","494,477.5 ",,"484,874.7 ","365,627.4 ","119,223.9 ",,"144,822.7 ",,"467,192.3 ",,,
7- 9.,"470,137.1 ","261,361.4 ","256,395.7 ","217,937.4 ","26,054.0 ","77,402.5 ",-403.9 ,"79,314.2 ","43,794.8 ",-81.8 ,"-9,826.9 ","45,432.1 ","55,259.0 ","-7,477.3 ",,"19,071.9 ","489,208.9 ","6,362.3 ","11,837.6 ","5,475.4 ","495,571.2 ",,"485,604.3 ","364,401.1 ","121,260.4 ",,"145,450.6 ",,"470,040.8 ",,,
10-12.,"473,925.2 ","260,975.5 ","255,864.7 ","217,239.3 ","25,483.2 ","75,354.6 ","2,429.0 ","79,870.0 ","48,302.5 ",-601.5 ,"-9,332.4 ","44,607.5 ","53,940.0 ","-8,555.8 ",,"19,523.5 ","493,448.7 ","5,793.3 ","10,093.0 ","4,299.7 ","499,242.0 ",,"489,467.3 ","364,056.7 ","125,616.2 ",,"146,823.1 ",,"471,602.7 ",,,
1999/ 1- 3.,"467,337.5 ","261,921.9 ","256,736.2 ","217,884.3 ","25,239.8 ","73,232.5 ","-3,512.9 ","80,735.9 ","48,478.1 ",-88.0 ,"-10,893.7 ","44,707.6 ","55,601.3 ","-7,776.1 ",,"20,446.1 ","487,783.7 ","5,155.2 ","9,859.0 ","4,703.7 ","492,938.9 ",,"483,728.9 ","357,016.1 ","127,055.5 ",,"144,496.7 ",,"469,987.5 ",,,
4- 6.,"469,194.8 ","262,269.1 ","256,921.7 ","217,820.8 ","26,877.8 ","73,817.0 ","-3,777.3 ","81,532.2 ","47,692.4 ",-7.6 ,"-11,523.9 ","45,110.2 ","56,634.0 ","-7,684.9 ",,"19,924.1 ","489,118.9 ","6,236.7 ","10,157.8 ","3,921.1 ","495,355.6 ",,"486,040.5 ","359,169.6 ","127,197.3 ",,"145,871.8 ",,"472,019.3 ",,,
7- 9.,"471,673.5 ","264,069.3 ","258,538.1 ","219,186.0 ","27,140.0 ","73,391.8 ","-3,443.1 ","82,478.1 ","46,223.9 ",-9.8 ,"-11,020.1 ","47,048.5 ","58,068.6 ","-7,156.6 ",,"18,979.8 ","490,653.3 ","6,342.8 ","9,961.8 ","3,619.0 ","496,996.1 ",,"487,567.5 ","361,065.3 ","126,793.5 ",,"144,327.3 ",,"474,195.3 ",,,
10-12.,"471,847.6 ","264,805.2 ","259,302.2 ","219,709.5 ","26,009.4 ","74,183.8 ","-3,570.0 ","82,804.0 ","46,008.5 ",-387.8 ,"-11,688.0 ","48,122.8 ","59,810.8 ","-6,317.6 ",,"20,093.9 ","491,941.5 ","6,657.3 ","10,164.7 ","3,507.3 ","498,598.8 ",,"487,881.5 ","361,526.8 ","126,632.8 ",,"143,975.7 ",,"474,751.5 ",,,
2000/ 1- 3.,"479,971.2 ","266,405.9 ","261,154.9 ","221,314.9 ","26,274.5 ","76,969.7 ","-1,610.0 ","83,857.1 ","43,484.6 ",179.8 ,"-9,121.1 ","50,708.0 ","59,829.1 ","-6,469.4 ",,"18,313.2 ","498,284.4 ","6,354.6 ","10,530.5 ","4,175.9 ","504,639.0 ",,"493,722.7 ","368,051.2 ","125,823.8 ",,"144,916.7 ",,"480,721.5 ",,,
4- 6.,"482,132.7 ","265,906.2 ","260,990.7 ","220,909.1 ","26,955.2 ","75,878.9 ","1,321.9 ","84,867.1 ","43,191.3 ",40.0 ,"-9,888.1 ","52,331.5 ","62,219.6 ","-6,139.7 ",,"19,087.4 ","501,220.1 ","7,695.9 ","11,318.9 ","3,623.0 ","508,916.0 ",,"496,003.6 ","369,692.3 ","126,465.6 ",,"144,094.4 ",,"480,398.7 ",,,
7- 9.,"482,246.2 ","266,392.1 ","261,717.8 ","221,386.5 ","26,428.4 ","78,476.9 ","-1,031.7 ","85,491.3 ","42,385.7 ",-47.8 ,"-10,673.8 ","53,198.5 ","63,872.3 ","-5,174.9 ",,"18,700.2 ","500,946.4 ","7,662.7 ","11,412.1 ","3,749.4 ","508,609.1 ",,"496,403.2 ","370,263.1 ","126,280.4 ",,"145,669.9 ",,"482,657.7 ",,,
