有効なECM,全変数MAE,±0.1以内,GDP_MAE,GDP_最大誤差,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11
CP+YICV+PCPAT,0.02329610195448133,0.9617762788083193,0.009761450961781604,0.040817901199667495,0.02540435066342409,0.026440124522741713,0.024813703382461385,0.02280187731148128,0.06082092109375608,0.021078313862764902,0.0325761946749513,0.008900551122731224,0.010675634663865815,0.010676457012295216,0.012027923038975045
CP+PCPAT,0.024553796494002574,0.9595278246205734,0.010514808904817683,0.039927809576624396,0.025808683158344295,0.02627460695825203,0.025044353036393418,0.022268206846306284,0.06055695799689057,0.02102991621908476,0.04115397567783412,0.009948056822415022,0.012887916936747162,0.013327592650804299,0.01172623808882825
CP+YICV,0.024652198844408724,0.9567172568858909,0.009625098257156434,0.04092688351503965,0.02617494042225246,0.027527477351105306,0.025267174142706055,0.022863512643834637,0.061030041766406425,0.020961546178781012,0.03348147709522832,0.008908249752005614,0.011893704772893598,0.020837930048719297,0.012159787694829382
CPのみ,0.025560399145908037,0.9561551433389545,0.010348461058732883,0.04003459596786235,0.026503509265499672,0.02721600707931072,0.025290498316445732,0.02237820208866075,0.06072861783738355,0.020914468532809392,0.041763596094960505,0.009946419869319711,0.012814522144281314,0.02180627552236604,0.011716238101856536
CP+IHP,0.047359101131856325,0.9207419898819561,0.01831809770036713,0.09587342048070019,0.054227866094694994,0.052712979526440926,0.0526796820463066,0.10418861335134136,0.06794758590996086,0.045460239071726596,0.05440890609716103,0.010905669238527989,0.0231727729054394,0.034872757215247435,0.020337876881347795
