case,MAE,within_0.1
既定（追加3本は式に埋め込み＝有効）,0.02329610195448133,0.9617762788083193
NFMGS 固定,0.023313628310168484,0.9623383923552558
PCGAT 固定,0.02331185511636962,0.9612141652613828
PIGAT 固定,0.02325799715539517,0.9623383923552558
3本とも固定,0.02328307617439129,0.9612141652613828
既定 + YWV 有効,0.02344916988981569,0.9600899381675099
3本固定 + YWV 有効,0.023389060801049303,0.9595278246205734
