,benefit,benefit,benefit,ctax,ctax,ctax,ctax2,ctax2,ctax2
,GDP,BGV,CP,GDP,BGV,CP,GDP,BGV,CP
period,,,,,,,,,
2017Q3,0.0,-1.509903313490213e-14,0.0,-0.055744901277710035,-0.007791788133700184,5.672158298608565e-08,-0.05059661861950282,-0.007071829139133179,5.148177439906476e-08
2017Q4,0.0,4.440892098500626e-15,2.220446049250313e-14,-0.7385502197328808,-0.11805333848540078,-1.594341369365615,-0.6704262688217111,-0.10709186511203095,-1.447197088264729
2018Q1,0.0128845922510612,-0.9980503618379597,3.3291057466300344e-05,0.8049575546279497,-0.7984115770797029,1.2374499438968956,0.7295877985297183,-0.7223192079655547,1.1217089993510232
2018Q2,0.1760932378821467,-0.9708145522822611,0.40277342098848923,0.22193335042486328,-0.7839947205241158,0.7211513055542573,0.2010425481709044,-0.7092021313644752,0.6534092673358138
2018Q3,0.34588333788942993,-0.9256030793501888,0.9154689578086517,0.5060707617334348,-0.7385874711334375,1.2082809176281017,0.45837676194984134,-0.6680967564352436,1.0943842457198816
2018Q4,0.28999115819734467,-0.9026605738841305,0.9800217355587559,0.4036034207149042,-0.7062783249667266,1.160451066690782,0.36562392643717523,-0.6388163012677079,1.050991745620844
2019Q1,0.3049202087402225,-0.8814983918097243,1.0209094533887075,0.4391530458560222,-0.6444711004893042,1.2009908467774943,0.3978146813908623,-0.5828396034698868,1.0876725447968472
2019Q2,0.31498749158167527,-0.8666192390635885,1.061840619975274,0.4470571146432567,-0.67586149515183,1.230133251755272,0.4049593709377852,-0.6112665609423633,1.1140351925623904
2019Q3,0.31961765082531013,-0.8619596386291786,1.1214883149658128,0.43294097349226845,-0.6601415674532802,1.2340464082054803,0.39214644665430676,-0.5971754815720312,1.1174759753067809
2019Q4,0.30993846568245775,-0.8646242033841385,1.1602699613544099,0.42704814376053335,-0.4416608014288621,1.2552616642836911,0.38658718886557253,-0.399896965281878,1.1360847411588715
2020Q1,0.31301877617870844,-0.865405568337986,1.1653681241693858,0.40625322438765377,-0.44245495212369734,1.1931697878414083,0.3673787064287781,-0.40104787876631587,1.0787332816830864
2020Q2,0.29008003790664816,-0.8651926652236632,1.1736115946221481,0.37644089553718896,-0.5797136075140479,1.1336094231264138,0.34013609428071856,-0.5258394364901866,1.0237463307074979
2020Q3,0.30428099565968925,-0.872758871682831,1.1370791503240607,0.4072725026353252,-0.5995142897739205,1.1372900738635172,0.3677050323266373,-0.5444740497356664,1.0260800911545909
2020Q4,0.28274734889242037,-0.8804394114155407,1.127477940611743,0.3968734247437933,-0.6432650555541661,1.1682308714174416,0.3579458898383958,-0.584907576092597,1.052805596592532
