scenario,variable,year,quarter,value
1,PXGS,2019,1,-0.06408397
1,PXGS,2019,2,-0.08659143
1,PXGS,2019,3,-0.11044911
1,PXGS,2019,4,-0.13558491
1,PXGS,2020,1,-0.16100078
1,PXGS,2020,2,-0.18648471
1,PXGS,2020,3,-0.21211754
1,PXGS,2020,4,-0.2382084
1,PMGS,2018,1,-0.00587231
1,PMGS,2018,2,-0.01528024
1,PMGS,2018,3,-0.03552329
1,PMGS,2018,4,-0.06292988
1,PMGS,2019,1,-0.065586
1,PMGS,2019,2,-0.09612961
1,PMGS,2019,3,-0.10771956
1,PMGS,2019,4,-0.13319288
1,PMGS,2020,1,-0.16363528
1,PMGS,2020,2,-0.11922892
1,PMGS,2020,3,-0.15423502
1,PMGS,2020,4,-0.18498636
1,CGPI,2018,1,-0.00334692
1,CGPI,2018,2,0.0402955
1,CGPI,2018,3,0.0556555
1,CGPI,2018,4,0.08418301
1,CGPI,2019,1,0.12455532
1,CGPI,2019,2,0.16419581
1,CGPI,2019,3,0.20739967
1,CGPI,2019,4,0.24821389
1,CGPI,2020,1,0.28777688
1,CGPI,2020,2,0.34358721
1,CGPI,2020,3,0.38308221
1,CGPI,2020,4,0.42316717
1,GDPV,2018,1,1.02616132
1,GDPV,2018,2,1.11047431
1,GDPV,2018,3,1.22521662
1,GDPV,2018,4,1.27049694
1,GDPV,2019,1,1.31591737
1,GDPV,2019,2,1.37410281
1,GDPV,2019,3,1.41496976
1,GDPV,2019,4,1.46735884
1,GDPV,2020,1,1.52514036
1,GDPV,2020,2,1.57477075
1,GDPV,2020,3,1.62439882
1,GDPV,2020,4,1.67186361
1,CPV,2018,1,-7.528e-05
1,CPV,2018,2,0.14896918
1,CPV,2018,3,0.39176182
1,CPV,2018,4,0.50287823
1,CPV,2019,1,0.6037768
1,CPV,2019,2,0.69649362
1,CPV,2019,3,0.77305092
1,CPV,2019,4,0.85710008
1,CPV,2020,1,0.92617394
1,CPV,2020,2,0.99609867
1,CPV,2020,3,1.02525318
1,CPV,2020,4,1.07052675
1,IFPV,2018,1,0.115397
1,IFPV,2018,2,0.14164392
1,IFPV,2018,3,0.17572806
1,IFPV,2018,4,0.15009366
1,IFPV,2019,1,0.08888997
1,IFPV,2019,2,-0.02548931
1,IFPV,2019,3,-0.15814533
1,IFPV,2019,4,-0.28007594
1,IFPV,2020,1,-0.35892709
1,IFPV,2020,2,-0.41697241
1,IFPV,2020,3,-0.42004121
1,IFPV,2020,4,-0.39747809
1,IHPV,2018,1,0.08881161
