scenario,variable,year,value_repro,value_paper,diff
1,PLAND,2018,0.04471843,0.01,0.03471843
1,PLAND,2019,0.22230028,0.1,0.12230028
1,PLAND,2020,0.47819995,0.31,0.16819995
1,PMGS,2018,-0.03184564,-0.03,-0.00184564
1,PMGS,2019,-0.10379816,-0.09,-0.01379816
1,PMGS,2020,-0.16861506,-0.14,-0.02861506
1,PSHARE,2018,-1.09603763,-1.07,-0.02603763
1,PSHARE,2019,-4.53970945,-4.48,-0.05970945
1,PSHARE,2020,-6.23630794,-6.26,0.02369206
1,PXGS,2018,-0.01938319,-0.02,0.00061681
1,PXGS,2019,-0.05624124,-0.1,0.04375876
1,PXGS,2020,-0.06866145,-0.2,0.13133855
1,RCD,2018,0.12031788,0.12,0.00031788
1,RCD,2019,0.23053105,0.23,0.00053105
1,RCD,2020,0.25805533,0.26,-0.00194467
1,RGB,2018,0.05646334,0.06,-0.00353666
1,RGB,2019,0.10586115,0.11,-0.00413885
1,RGB,2020,0.12833831,0.13,-0.00166169
1,SBGVATGDPV,2018,-2.35402365,-2.37,0.01597635
1,SBGVATGDPV,2019,-2.59535561,-2.62,0.02464439
1,SBGVATGDPV,2020,-2.98744405,-2.96,-0.02744405
1,TAXV,2018,1.06060436,1.16,-0.09939564
1,TAXV,2019,2.01911217,2.16,-0.14088783
1,TAXV,2020,2.06415243,2.15,-0.08584757
1,TCIV,2018,1.12925288,1.12,0.00925288
1,TCIV,2019,1.42396053,1.4,0.02396053
1,TCIV,2020,1.61737566,1.58,0.03737566
1,TYCV,2018,1.83117428,1.89,-0.05882572
1,TYCV,2019,4.08222146,4.24,-0.15777854
1,TYCV,2020,3.63143379,3.63,0.00143379
1,TYPV,2018,0.89472499,1.2,-0.30527501
1,TYPV,2019,1.53923378,1.89,-0.35076622
1,TYPV,2020,1.64861839,1.99,-0.34138161
1,UCC,2018,-0.53129151,-0.43,-0.10129151
1,UCC,2019,-0.02672321,-0.05,0.02327679
1,UCC,2020,-0.15864794,-0.34,0.18135206
1,UR,2018,-0.03248978,-0.03,-0.00248978
1,UR,2019,-0.04617464,-0.04,-0.00617464
1,UR,2020,-0.04975648,-0.04,-0.00975648
1,WIPH,2018,0.570229,0.55,0.020229
1,WIPH,2019,0.81296786,0.71,0.10296786
1,WIPH,2020,1.01815001,0.87,0.14815001
1,XGS,2018,-0.00182936,0.0,-0.00182936
1,XGS,2019,-0.02333448,-0.01,-0.01333448
1,XGS,2020,-0.07830804,-0.04,-0.03830804
1,XGSV,2018,-0.02121201,-0.02,-0.00121201
1,XGSV,2019,-0.07956172,-0.11,0.03043828
1,XGSV,2020,-0.14691592,-0.24,0.09308408
1,YCV,2018,3.67900159,3.78,-0.10099841
1,YCV,2019,2.9576745,2.96,-0.0023255
1,YCV,2020,2.27382654,2.56,-0.28617346
1,YDV,2018,0.99700696,0.96,0.03700696
1,YDV,2019,1.27642363,1.25,0.02642363
1,YDV,2020,1.35628121,1.31,0.04628121
1,YWV,2018,1.0072034,1.03,-0.0227966
1,YWV,2019,1.18420136,1.22,-0.03579864
1,YWV,2020,1.27707083,1.28,-0.00292917
2,BCVATGDPV,2018,-0.12263564,-0.11,-0.01263564
2,BCVATGDPV,2019,-0.22874232,-0.2,-0.02874232
2,BCVATGDPV,2020,-0.2613645,-0.23,-0.0313645
2,BGVATGDPV,2018,-0.47753508,-0.46,-0.01753508
2,BGVATGDPV,2019,-0.28337721,-0.26,-0.02337721
2,BGVATGDPV,2020,-0.09211612,-0.05,-0.04211612
2,CG,2018,0.04552166,0.04,0.00552166
2,CG,2019,0.16296214,0.16,0.00296214
2,CG,2020,0.27195777,0.26,0.01195777
