scenario,variable,year,quarter,value
1,PXGS,2019,1,-0.04430688
1,PXGS,2019,2,-0.05365033
1,PXGS,2019,3,-0.06090969
1,PXGS,2019,4,-0.06609804
1,PXGS,2020,1,-0.06908599
1,PXGS,2020,2,-0.07016864
1,PXGS,2020,3,-0.06890946
1,PXGS,2020,4,-0.06648172
1,PMGS,2018,1,-0.0078209
1,PMGS,2018,2,-0.01712155
1,PMGS,2018,3,-0.03904201
1,PMGS,2018,4,-0.06339812
1,PMGS,2019,1,-0.07169372
1,PMGS,2019,2,-0.09869045
1,PMGS,2019,3,-0.11230677
1,PMGS,2019,4,-0.13250171
1,PMGS,2020,1,-0.15679153
1,PMGS,2020,2,-0.15020282
1,PMGS,2020,3,-0.1732155
1,PMGS,2020,4,-0.19425038
1,CGPI,2018,1,-0.00377579
1,CGPI,2018,2,0.03884535
1,CGPI,2018,3,0.05244757
1,CGPI,2018,4,0.08038554
1,CGPI,2019,1,0.11767213
1,CGPI,2019,2,0.15616309
1,CGPI,2019,3,0.19747223
1,CGPI,2019,4,0.23768536
1,CGPI,2020,1,0.2775277
1,CGPI,2020,2,0.32451562
1,CGPI,2020,3,0.36641516
1,CGPI,2020,4,0.40836702
1,GDPV,2018,1,1.0416873
1,GDPV,2018,2,1.12160061
1,GDPV,2018,3,1.24331857
1,GDPV,2018,4,1.28691594
1,GDPV,2019,1,1.33887092
1,GDPV,2019,2,1.40428377
1,GDPV,2019,3,1.4496821
1,GDPV,2019,4,1.51610776
1,GDPV,2020,1,1.57542818
1,GDPV,2020,2,1.64665537
1,GDPV,2020,3,1.70669768
1,GDPV,2020,4,1.76745367
1,CPV,2018,1,-7.669e-05
1,CPV,2018,2,0.15303586
1,CPV,2018,3,0.42114667
1,CPV,2018,4,0.54371381
1,CPV,2019,1,0.63987861
1,CPV,2019,2,0.73542123
1,CPV,2019,3,0.81186755
1,CPV,2019,4,0.89858304
1,CPV,2020,1,0.96447659
1,CPV,2020,2,1.03684178
1,CPV,2020,3,1.0687523
1,CPV,2020,4,1.12792837
1,IFPV,2018,1,0.11241391
1,IFPV,2018,2,0.12772504
1,IFPV,2018,3,0.15021066
1,IFPV,2018,4,0.11045285
1,IFPV,2019,1,0.03501477
1,IFPV,2019,2,-0.09011267
1,IFPV,2019,3,-0.2302874
1,IFPV,2019,4,-0.3541331
1,IFPV,2020,1,-0.43461162
1,IFPV,2020,2,-0.49371425
1,IFPV,2020,3,-0.49974361
1,IFPV,2020,4,-0.48189718
1,IHPV,2018,1,0.09119818
1,IHPV,2018,2,0.1727296
1,IHPV,2018,3,0.3663867
1,IHPV,2018,4,0.62045257
