scenario,variable,year,quarter,value
1,PXGS,2019,1,-0.0441462
1,PXGS,2019,2,-0.05342082
1,PXGS,2019,3,-0.06061259
1,PXGS,2019,4,-0.06574604
1,PXGS,2020,1,-0.06868721
1,PXGS,2020,2,-0.06973682
1,PXGS,2020,3,-0.068493
1,PXGS,2020,4,-0.06607983
1,PMGS,2018,1,-0.0078209
1,PMGS,2018,2,-0.01711809
1,PMGS,2018,3,-0.03861425
1,PMGS,2018,4,-0.06231331
1,PMGS,2019,1,-0.07107594
1,PMGS,2019,2,-0.09771419
1,PMGS,2019,3,-0.11165223
1,PMGS,2019,4,-0.13174221
1,PMGS,2020,1,-0.15578656
1,PMGS,2020,2,-0.15097652
1,PMGS,2020,3,-0.1735795
1,PMGS,2020,4,-0.19435435
1,CGPI,2018,1,-0.00377579
1,CGPI,2018,2,0.03884693
1,CGPI,2018,3,0.05252876
1,CGPI,2018,4,0.08036875
1,CGPI,2019,1,0.11743738
1,CGPI,2019,2,0.15589409
1,CGPI,2019,3,0.19682946
1,CGPI,2019,4,0.23689607
1,CGPI,2020,1,0.27645597
1,CGPI,2020,2,0.32287736
1,CGPI,2020,3,0.36450159
1,CGPI,2020,4,0.40626714
1,GDPV,2018,1,1.0416873
1,GDPV,2018,2,1.12116888
1,GDPV,2018,3,1.23748687
1,GDPV,2018,4,1.28003502
1,GDPV,2019,1,1.33309199
1,GDPV,2019,2,1.39582962
1,GDPV,2019,3,1.44258139
1,GDPV,2019,4,1.50636867
1,GDPV,2020,1,1.56673457
1,GDPV,2020,2,1.63553861
1,GDPV,2020,3,1.696606
1,GDPV,2020,4,1.7556054
1,CPV,2018,1,-7.669e-05
1,CPV,2018,2,0.15303589
1,CPV,2018,3,0.40795736
1,CPV,2018,4,0.52568004
1,CPV,2019,1,0.62247508
1,CPV,2019,2,0.7145957
1,CPV,2019,3,0.7924163
1,CPV,2019,4,0.87545844
1,CPV,2020,1,0.94277307
1,CPV,2020,2,1.01215822
1,CPV,2020,3,1.04593854
1,CPV,2020,4,1.10295079
1,IFPV,2018,1,0.11241391
1,IFPV,2018,2,0.12767872
1,IFPV,2018,3,0.14957301
1,IFPV,2018,4,0.10967976
1,IFPV,2019,1,0.03433222
1,IFPV,2019,2,-0.09082743
1,IFPV,2019,3,-0.23035847
1,IFPV,2019,4,-0.35374198
1,IFPV,2020,1,-0.43328326
1,IFPV,2020,2,-0.49188297
1,IFPV,2020,3,-0.49733222
1,IFPV,2020,4,-0.47937924
1,IHPV,2018,1,0.09119818
1,IHPV,2018,2,0.1610901
1,IHPV,2018,3,0.36202084
1,IHPV,2018,4,0.59382996
1,IHPV,2019,1,0.85866862
1,IHPV,2019,2,1.20568255
1,IHPV,2019,3,1.51059727
1,IHPV,2019,4,1.82514167
1,IHPV,2020,1,2.08234933
1,IHPV,2020,2,2.31292124
1,IHPV,2020,3,2.5457464
1,IHPV,2020,4,2.74521326
1,IGV,2018,1,20.33946275
1,IGV,2018,2,20.1000214
1,IGV,2018,3,20.30483532
1,IGV,2018,4,20.6609067
1,IGV,2019,1,20.42185656
1,IGV,2019,2,20.59889071
1,IGV,2019,3,20.47034258
1,IGV,2019,4,19.86898039
1,IGV,2020,1,20.23432862
1,IGV,2020,2,18.12359646
1,IGV,2020,3,18.96498487
1,IGV,2020,4,19.01103452
1,CGV,2018,1,-0.0
1,CGV,2018,2,0.02938343
1,CGV,2018,3,0.06602105
1,CGV,2018,4,0.11416485
1,CGV,2019,1,0.17715956
1,CGV,2019,2,0.25183291
1,CGV,2019,3,0.33382173
1,CGV,2019,4,0.41852781
1,CGV,2020,1,0.50515665
1,CGV,2020,2,0.59448014
1,CGV,2020,3,0.67352821
1,CGV,2020,4,0.76171228
1,XGSV,2018,1,-0.00609008
1,XGSV,2018,2,-0.01518349
1,XGSV,2018,3,-0.0249106
1,XGSV,2018,4,-0.03852091
1,XGSV,2019,1,-0.05394944
1,XGSV,2019,2,-0.07054434
1,XGSV,2019,3,-0.08758152
1,XGSV,2019,4,-0.10494661
1,XGSV,2020,1,-0.12214105
1,XGSV,2020,2,-0.13893985
