scenario,variable,year,value_repro,value_paper,diff
1,BCVATGDPV,2018,-0.1297903794738976,-0.12,-0.009790379473897604
1,BCVATGDPV,2019,-0.28946249987120365,-0.26,-0.02946249987120364
1,BCVATGDPV,2020,-0.43818126349518505,-0.4,-0.038181263495185025
1,BGVATGDPV,2018,-0.46094341394791416,-0.47,0.009056586052085813
1,BGVATGDPV,2019,-0.33272747039744033,-0.34,0.007272529602559696
1,BGVATGDPV,2020,-0.36129931390958225,-0.28,-0.08129931390958223
1,CG,2018,0.04555739697890138,0.04,0.005557396978901376
1,CG,2019,0.16300304445354685,0.16,0.0030030444535468492
1,CG,2020,0.2718463396108928,0.26,0.011846339610892764
1,CGPI,2018,0.04152295812410167,0.04,0.0015229581241016713
1,CGPI,2019,0.17585150152787943,0.17,0.005851501527879416
1,CGPI,2020,0.34295577165104896,0.33,0.012955771651048942
1,CGV,2018,0.05243581887147131,0.05,0.002435818871471304
1,CGV,2019,0.29533837885531433,0.28,0.015338378855314305
1,CGV,2020,0.6334912695809158,0.61,0.023491269580915852
1,CP,2018,0.24982464633153678,0.25,-0.00017535366846321843
1,CP,2019,0.5314557740144055,0.53,0.001455774014405442
1,CP,2020,0.5289030469347755,0.53,-0.001096953065224504
1,CPV,2018,0.2717109093020448,0.27,0.0017109093020447608
1,CPV,2019,0.7522707353762814,0.76,-0.00772926462371859
1,CPV,2020,1.024357994118219,1.04,-0.015642005881780996
1,CUX,2018,1.963078926700701,2.0,-0.036921073299299056
1,CUX,2019,2.1607689292207466,2.01,0.1507689292207468
1,CUX,2020,2.3630341397323673,1.85,0.5130341397323672
1,FXS,2018,-0.05862379976672438,-0.06,0.0013762002332756151
1,FXS,2019,-0.24773857850697023,-0.24,-0.0077385785069702395
1,FXS,2020,-0.4902325991672257,-0.49,-0.00023259916722573326
1,GDP,2018,1.0765042443376727,1.08,-0.0034957556623274044
1,GDP,2019,1.101528932286211,1.11,-0.008471067713789138
1,GDP,2020,1.0521319182379196,1.04,0.012131918237919592
1,GDPD,2018,1.1272977000728204,1.14,-0.012702299927179528
1,GDPD,2019,-0.0464390892575533,-0.06,0.013560910742446697
1,GDPD,2020,-0.0424894601018132,-0.06,0.017510539898186794
1,GDPGAP,2018,0.9580900095017295,0.96,-0.001909990498270453
1,GDPGAP,2019,0.960924254244629,0.99,-0.029075745755370974
1,GDPGAP,2020,0.9277376285659211,0.96,-0.03226237143407884
1,GDPPOT,2018,0.13281204940670532,0.12,0.012812049406705328
1,GDPPOT,2019,0.14430981410342714,0.12,0.02430981410342714
1,GDPPOT,2020,0.08576056849891045,0.05,0.03576056849891045
1,GDPV,2018,1.1702496930554973,1.18,-0.00975030694450263
1,GDPV,2019,1.419760795320374,1.42,-0.000239204679626015
1,GDPV,2020,1.6598025467528366,1.64,0.01980254675283666
1,IFP,2018,-0.13186610814489852,-0.13,-0.001866108144898515
1,IFP,2019,-0.6605408299389187,-0.64,-0.020540829938918703
1,IFP,2020,-1.2200089839243393,-1.22,-8.98392433934525e-06
1,IFPV,2018,0.12417831011183322,0.13,-0.005821689888166781
1,IFPV,2019,-0.16214739089208396,-0.1,-0.06214739089208396
1,IFPV,2020,-0.4759894471878051,-0.38,-0.09598944718780511
1,IG,2018,20.098571180609742,20.08,0.01857118060974372
1,IG,2019,19.65797855455356,19.74,-0.08202144544643986
1,IG,2020,18.161946323756183,18.13,0.031946323756184114
1,IGV,2018,20.37335788963557,20.36,0.013357889635571496
1,IGV,2019,20.25902114475977,20.4,-0.14097885524022757
1,IGV,2020,19.11735543086712,19.2,-0.08264456913287788
1,IHP,2018,0.2899151679709666,0.2,0.0899151679709666
1,IHP,2019,1.1217438691863701,0.44,0.6817438691863702
1,IHP,2020,1.8880906783385387,0.44,1.4480906783385388
1,IHPV,2018,0.3017193267501106,0.22,0.0817193267501106
1,IHPV,2019,1.3512813460800466,0.68,0.6712813460800465
